Count,Primary Distribution Line  Segment ID,From_Bus_ID,To_Bus_ID,Phasing,Configuration,System Grounding Type,Length         (meters),Conductor Type,Conductor Size,Unit (C) ,Strands (C) ,Neutral Wire Type,Neutral Wire Size,Unit (NW),Strands (NW),Spacing D12 (meters),Spacing D23 (meters),Spacing D13 (meters),Spacing D1n (meters),Spacing D2n (meters),Spacing D3n (meters),Spacing DC1-C2       (meters),Height H1   (meters),Height H2   (meters),Height H3   (meters),Height Hn   (meters),Earth Resistivity (Ohm-meter)
212,DXTUNGAF1A0130-56-4,P0000000130-56,P0000000130-56-4,BN,Vertical,Multi-grounded,280,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
213,DXTUNGAF1A0130-56-12,P0000000130-56-4,P0000000130-56-12,BN,Vertical,Multi-grounded,584,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
214,DXTUNGAF1C0130-62,P0000000130-56,P0000000130-62,ABCN,Triangular,Multi-grounded,304,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
215,DXTUNGAF1C0130-63,P0000000130-62,P0000000130-63,ABCN,Triangular,Multi-grounded,59,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
216,DXTUNGAF1C0130-70,P0000000130-63,P0000000130-70,ABCN,Triangular,Multi-grounded,503,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
217,DXTUNGAF1A0130-88,P0000000130-70,P0000000130-88,ABCN,Triangular,Multi-grounded,1210,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
218,DXTUNGAF1A0130-88A,P0000000130-88,P0000000130-88A,ABCN,Triangular,Multi-grounded,2,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
219,DXTUNGAF1A0130-88-18,P0000000130-88A,P0000000130-88A-18,BN,Vertical,Multi-grounded,1354,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
220,DXTUNGAF1C0130-98,P0000000130-88A,P0000000130-98,ABCN,Triangular,Multi-grounded,590,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
221,DXTUNGAF1C0130-98A,P0000000130-98,P0000000130-98A,ABCN,Triangular,Multi-grounded,70,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
222,DXTUNGAF1C0130-117,P0000000130-98,P0000000130-117,ABCN,Triangular,Multi-grounded,1082,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.48,1.15,1.475161008,0,8.69,9.15,8.69,8,100
223,DXTUNGAF1C0132,P0000000130,P0000000132,ABCN,Triangular,Multi-grounded,110,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
224,DXTUNGAF1A0132-3,P0000000132,P0000000132-3,CN,Vertical,Multi-grounded,210,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
225,DXTUNGAF1A0132-3B,P0000000132-3,P0000000132-3B,CN,Vertical,Multi-grounded,140,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
226,DXTUNGAF1A0132-3D,P0000000132-3B,P0000000132-3D,CN,Vertical,Multi-grounded,140,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
227,DXTUNGAF1A0132-3D1,P0000000132-3D,P0000000132-3D1,CN,Vertical,Multi-grounded,70,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
228,DXTUNGAF1A0132-3E,P0000000132-3D,P0000000132-3E,CN,Vertical,Multi-grounded,70,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
229,DXTUNGAF1A0132-3G,P0000000132-3E,P0000000132-3G,CN,Vertical,Multi-grounded,70,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
230,DXTUNGAF1A0132-3H,P0000000132-3G,P0000000132-3H,CN,Vertical,Multi-grounded,70,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
231,DXTUNGAF1A0132-3H1,P0000000132-3H,P0000000132-3H1,CN,Vertical,Multi-grounded,70,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
232,DXTUNGAF1A0132-3I,P0000000132-3H,P0000000132-3I,CN,Vertical,Multi-grounded,70,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
233,DXTUNGAF1A0132-5,P0000000132-3,P0000000132-5,CN,Vertical,Multi-grounded,200,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
234,DXTUNGAF1A0132-9,P0000000132-5,P0000000132-9,CN,Vertical,Multi-grounded,214,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
235,DXTUNGAF1A0132-14,P0000000132-9,P0000000132-14,CN,Vertical,Multi-grounded,247,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.07,0,0,0,7.62195122,0,0,6.554878049,100
236,DXTUNGAF1C0134,P0000000132,P0000000134,ABCN,Triangular,Multi-grounded,141,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
237,DXTUNGAF1A0134-2,P0000000134,P0000000134-2,AN,Vertical,Multi-grounded,140,ACSR,2,AWG,06-Jan,ACSR,2,AWG,06-Jan,0,0,0,1.067073171,0,0,0,7.62195122,0,0,6.554878049,100
238,DXTUNGAF1C00136,P0000000134,P0000000136,ABCN,Triangular,Multi-grounded,117,ACSR,336.4,MCM,26-Jul,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
239,DXTUNGAF1C00137,P0000000136,P0000000137,ABCN,Triangular,Multi-grounded,28,ACSR,2/0,AWG,06-Jan,ACSR,2,AWG,06-Jan,1.382606235,1.382606235,2.61,1.475161008,1.15,1.475161008,0,8.69,9.15,8.69,8,100
